"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.687682777E0,5.111897469E0,-3.364178658E0,3.015891552E0
1.692681162E0,4.376289845E0,-3.580663681E0,2.985185862E0
1.697679600E0,3.201160908E0,-4.067340851E0,3.015176058E0
1.702678037E0,1.067413211E0,-5.409098625E0,3.440178394E0
1.707676475E0,-8.742797971E-1,-6.693992615E0,2.999977827E0
1.712674912E0,-2.232526779E0,-7.604978561E0,3.536734819E0
1.717673141E0,-3.057566881E0,-8.131598473E0,5.518828869E0
1.722670277E0,-3.641341209E0,-8.665981293E0,6.115378380E0
1.727667152E0,-3.551644564E0,-9.575945854E0,5.446022987E0
1.732664027E0,-2.205180168E0,-9.929509163E0,5.742561340E0
1.737660902E0,-4.386290312E-1,-9.006062508E0,6.728472710E0
1.742657777E0,6.216140389E-1,-8.066922188E0,6.440934658E0
1.747654652E0,2.231774807E0,-7.744707108E0,4.483683586E0
1.752651527E0,3.503612757E0,-7.728363991E0,2.900114059E0
1.757648402E0,4.411396027E0,-7.518656731E0,2.539537907E0
1.762645277E0,5.038897991E0,-7.312929153E0,2.225835323E0
1.767642152E0,4.611583710E0,-6.701073647E0,1.779432654E0
1.772639027E0,3.559056997E0,-5.792100906E0,1.338116646E0
1.777635902E0,2.298110485E0,-4.926023483E0,7.900285721E-1
1.782632777E0,1.440209031E0,-4.245333672E0,5.315141678E-1
1.787629652E0,1.165072441E0,-4.106858253E0,1.819947958E0
1.792626527E0,6.099221110E-1,-4.018939018E0,3.311197281E0
1.797623402E0,-1.414045095E-1,-3.697205544E0,4.144283295E0
1.802620277E0,-6.362714767E-1,-3.508421898E0,4.154559135E0
1.807617152E0,-6.497182846E-1,-3.328744888E0,3.207890272E0
1.812614027E0,-2.687555552E-1,-3.142091751E0,1.959323168E0
1.817610902E0,2.678447366E-1,-2.901218414E0,6.369998455E-1
1.822607777E0,6.607291102E-1,-3.000814438E0,-9.893524647E-1
1.827604652E0,1.043103218E0,-3.072124481E0,-2.467674017E0
1.832601527E0,1.471247554E0,-2.883454323E0,-3.710355759E0
1.837598402E0,2.082971334E0,-2.786515236E0,-5.553227901E0
1.842595277E0,2.231426001E0,-2.548965454E0,-6.928411007E0
1.847592152E0,1.392620325E0,-2.639014244E0,-7.014899731E0
1.852589027E0,4.654963315E-1,-2.806933403E0,-7.311501980E0
1.857585902E0,-4.810477495E-1,-3.099946976E0,-7.435817719E0
1.862582777E0,-1.678692698E0,-2.831753731E0,-6.972945690E0
1.867582152E0,-3.175969124E0,-2.854055405E0,-6.249301910E0
1.872579964E0,-4.959518909E0,-2.991460800E0,-5.224853992E0
1.877570850E0,-6.068258762E0,-3.069292068E0,-4.032328606E0
1.882561891E0,-6.077892780E0,-2.968564987E0,-2.659823418E0
1.887553350E0,-5.837741852E0,-2.773820877E0,-1.102919221E0
1.892545485E0,-5.523001194E0,-2.717567444E0,2.149833441E-1
1.897538558E0,-5.223516464E0,-2.659047127E0,1.313331246E0
1.902532673E0,-4.816704273E0,-2.517344475E0,2.007727146E0
